Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Admission_grade,Curricular_units_2nd_sem_evaluations,Age_at_enrollment,Previous_qualification_grade,Curricular_units_1st_sem_evaluations,Tuition_fees_up_to_date,Status
0,0.0,0,0.0,127.3,0,20,122.0,0,Yes,Dropout
6,13.666666666666666,6,14.0,142.5,6,19,160.0,6,No,Graduate
0,0.0,0,0.0,124.8,0,19,122.0,0,No,Dropout
5,12.4,6,13.428571428571429,119.6,10,20,122.0,8,Yes,Graduate
6,13.0,5,12.333333333333334,141.5,6,45,100.0,9,Yes,Graduate
5,11.5,5,11.857142857142858,114.8,17,50,133.1,10,Yes,Graduate
8,14.345,7,13.3,128.4,8,18,142.0,9,Yes,Graduate
0,0.0,0,0.0,113.1,5,22,119.0,5,No,Dropout
6,14.142857142857142,6,13.875,129.3,7,21,137.0,8,Yes,Graduate
2,13.5,5,11.4,123.0,14,18,138.0,9,No,Dropout
5,14.2,6,12.333333333333334,130.6,7,18,139.0,6,Yes,Graduate
7,13.214285714285714,7,13.214285714285714,119.3,8,18,136.0,8,Yes,Graduate
0,0.0,0,0.0,130.2,0,19,133.0,6,Yes,Dropout
5,11.0,6,10.571428571428571,111.8,8,21,110.0,7,Yes,Graduate
5,12.0,4,13.25,137.1,5,18,149.0,7,Yes,Graduate
0,0.0,5,13.2,120.7,7,20,127.0,6,Yes,Dropout
2,11.0,1,12.0,137.4,14,18,137.0,10,Yes,Enrolled
8,14.545,7,13.30625,127.3,8,18,135.0,8,Yes,Graduate
4,12.25,4,12.5,136.3,8,20,137.0,8,Yes,Graduate
6,13.5,6,11.666666666666666,124.6,8,18,140.0,7,Yes,Enrolled
0,0.0,0,0.0,120.3,0,21,122.0,0,Yes,Graduate
8,11.425,7,11.4375,121.8,9,20,127.0,14,Yes,Enrolled
7,12.857142857142858,7,12.857142857142858,125.5,12,18,142.0,12,Yes,Graduate
6,12.285714285714286,6,13.375,114.9,7,19,125.0,8,Yes,Graduate
7,14.114285714285714,6,13.296666666666669,123.9,9,19,126.0,8,Yes,Graduate
4,11.0,5,11.6,157.0,12,18,151.0,8,Yes,Enrolled
6,13.285714285714286,6,11.375,116.4,9,21,115.0,9,Yes,Graduate
4,13.0,5,12.666666666666666,131.0,7,18,138.0,9,Yes,Enrolled
5,12.333333333333334,5,12.0,122.1,6,20,135.0,6,Yes,Graduate
6,13.716666666666669,6,12.933333333333332,118.8,7,19,127.0,9,Yes,Enrolled
5,10.571428571428571,5,11.857142857142858,150.0,17,21,150.0,15,Yes,Enrolled
4,13.4,6,12.833333333333334,130.0,9,20,125.0,7,Yes,Graduate
2,13.5,3,11.333333333333334,138.8,8,18,143.0,9,No,Enrolled
6,14.375,6,12.666666666666666,134.5,8,19,138.0,6,Yes,Graduate
5,13.428571428571429,5,12.4,131.4,9,34,130.0,6,Yes,Graduate
1,10.0,0,0.0,102.5,7,37,130.0,7,No,Dropout
0,0.0,0,0.0,128.8,0,43,133.1,0,Yes,Dropout
2,12.0,1,10.0,122.9,8,55,140.0,10,Yes,Dropout
5,11.6,5,11.0,113.9,5,39,120.0,8,Yes,Graduate
3,12.0,3,11.666666666666666,120.0,11,20,120.0,13,No,Dropout
0,0.0,4,12.75,121.1,5,18,126.0,6,Yes,Dropout
5,15.8,5,14.8,120.4,5,22,133.0,5,Yes,Graduate
7,14.342857142857142,5,13.928,100.6,9,22,103.0,9,Yes,Graduate
5,13.8,4,13.0,121.4,7,20,120.0,7,No,Dropout
0,0.0,0,0.0,109.7,0,29,133.1,0,Yes,Dropout
3,14.333333333333334,2,11.5,134.1,11,24,154.0,9,Yes,Enrolled
5,13.2,6,11.666666666666666,127.6,8,18,130.0,6,Yes,Graduate
7,13.771428571428572,6,13.516666666666666,132.4,9,22,132.0,8,Yes,Graduate
